ticker,exchange,sector,market_cap
MDLZ,NASDAQ,Consumer Staples,74164539053
CVNA,NYSE,Consumer Discretionary,73986782083
ELVR,NASDAQ,Industrials,73784748096
BAM,NYSE,Consumer Discretionary,73603822514
EOG,NYSE,Energy,73510923997
MNST,NASDAQ,Consumer Staples,73450521312
CP,NYSE,Industrials,73161657506
AEP,NASDAQ,Utilities,72522239502
HLT,NYSE,Consumer Discretionary,72384169956
CI,NYSE,Health Care,72114513001
NTES,NASDAQ,Technology,72088548196
KMI,NYSE,Utilities,71972891027
NSC,NYSE,Industrials,71951797347
B,NYSE,Basic Materials,71487628055
ROST,NASDAQ,Consumer Discretionary,71369794413
VLO,NYSE,Energy,71360241268
VALE,NYSE,Basic Materials,71300889695
NU,NYSE,Finance,70786095422
AON,NYSE,Finance,70692199683
DASH,NASDAQ,Technology,70364036233
CTAS,NASDAQ,Industrials,70259611078
ELV,NYSE,Health Care,69539313594
GM,NYSE,Industrials,69352413682
CIEN,NYSE,Utilities,68842652153
TDG,NYSE,Industrials,68840143826
MPC,NYSE,Energy,68789854606
WBD,NASDAQ,Consumer Discretionary,68235260605
CL,NYSE,Consumer Discretionary,67961136426
NWG,NYSE,Finance,67914641064
LHX,NYSE,Industrials,67009439831
PSX,NYSE,Energy,66988151652
RSG,NYSE,Utilities,66950806806
HOOD,NASDAQ,Finance,66586808524
CNI,NYSE,Industrials,66324748100
TEL,NYSE,Technology,65696999382
TRP,NYSE,Utilities,65493962250
PCAR,NASDAQ,Consumer Discretionary,65040839844
ET,NYSE,Utilities,64774930881
TRV,NYSE,Finance,64594586085
NKE,NYSE,Consumer Discretionary,64500034722
WPM,NYSE,Basic Materials,64096397361
APD,NYSE,Basic Materials,63719696369
DLR,NYSE,Real Estate,63390177109
APO,NYSE,Finance,63256673644
SRE,NYSE,Utilities,63255658072
SPG,NYSE,Real Estate,63166729768
COR,NYSE,Health Care,62879124996
RELX,NYSE,Real Estate,62763065603
FTNT,NASDAQ,Technology,62641930537
LITE,NASDAQ,Telecommunications,62392176000
MPWR,NASDAQ,Technology,62257065000
IMO,AMEX,Energy,62112684920
BKR,NASDAQ,Consumer Discretionary,61865823306
TFC,NYSE,Finance,61516853407
DB,NYSE,Finance,61339119665
MFC,NYSE,Finance,60698098157
INFY,NYSE,Technology,58906744793
TAK,NYSE,Health Care,58775814278
MDLN,NASDAQ,Health Care,58695821648
SOMN,NYSE,Basic Materials,58266435763
O,NYSE,Real Estate,58119648017
AFL,NYSE,Finance,57830796777
OXY,NYSE,Energy,57557988305
AZO,NYSE,Consumer Discretionary,57162372553
AJG,NYSE,Finance,56984194353
MPLX,NYSE,Energy,56059583489
LNG,NYSE,Utilities,55842497898
CTVA,NYSE,Consumer Staples,55776298186
TGT,NYSE,Consumer Discretionary,55180453520
ALL,NYSE,Finance,54839923415
TER,NASDAQ,Industrials,54709692115
D,NYSE,Utilities,54667210574
AU,NYSE,Basic Materials,54612544060
KEYS,NYSE,Industrials,54531790823
FAST,NASDAQ,Consumer Discretionary,54362119108
OKE,NYSE,Utilities,53949522333
NOK,NYSE,Technology,53861634125
GWW,NYSE,Industrials,53853003533
FIX,NYSE,Industrials,53703029118
VST,NYSE,Utilities,53514486586
SNOW,NYSE,Technology,53287926500
UI,NYSE,Technology,53167517529
ASX,NYSE,Technology,53089267177
VIV,NYSE,Telecommunications,52951197253
ETR,NYSE,Utilities,52264580936
AME,NYSE,Industrials,52231499121
FANG,NASDAQ,Energy,52055287620
NXPI,NASDAQ,Technology,51913218077
SE,NYSE,Consumer Discretionary,51866866418
FNV,NYSE,Basic Materials,51729817051
COHR,NYSE,Technology,51686871778
TRGP,NYSE,Utilities,51424665388
ADSK,NASDAQ,Technology,51378500000
EA,NASDAQ,Consumer Discretionary,51060516332
CAH,NYSE,Health Care,50745898850
CCJ,NYSE,Basic Materials,50739591937
HBANL,NASDAQ,Finance,50612237953
ZTS,NYSE,Health Care,50345061214
FER,NASDAQ,Industrials,50318875175
PSA,NYSE,Real Estate,50289316564
NDAQ,NASDAQ,Finance,50250436870
XEL,NASDAQ,Utilities,50147218229
EXC,NASDAQ,Utilities,49792815804
ABEV,NYSE,Consumer Staples,49097504725
FERG,NYSE,Miscellaneous,49023371420
CARR,NYSE,Industrials,48817461928
F,NYSE,Industrials,48473929124
CVE,NYSE,Energy,48325381630
GRMN,NYSE,Industrials,48201049449
ARGX,NASDAQ,Health Care,48077016189
MET,NYSE,Finance,48036808382
IDXX,NASDAQ,Health Care,47760267547
COIN,NASDAQ,Finance,47755353562
URI,NYSE,Consumer Discretionary,47677888580
EW,NYSE,Health Care,47489739252
BSBR,NYSE,Finance,47292684169
CRWV,NASDAQ,Technology,46962349362
PCG,NYSE,Utilities,46430099321
DAL,NYSE,Consumer Discretionary,46222060205
MT,NYSE,Industrials,45888275628
WAB,NYSE,Industrials,45534596467
BDX,NYSE,Health Care,45074628365
MSTR,NASDAQ,Technology,44892712170
FITB,NASDAQ,Finance,44689558626
HBANM,NASDAQ,Finance,44612920554
HLN,NYSE,Consumer Discretionary,44554623629
CMG,NYSE,Consumer Discretionary,44523330255
GFI,NYSE,Basic Materials,44420053379
BRKRP,NASDAQ,Industrials,44326245600
CCEP,NASDAQ,Consumer Staples,44013596879
YUM,NYSE,Consumer Discretionary,43991640975
ROK,NYSE,Industrials,43829696332
ALNY,NASDAQ,Health Care,43620919477
WDS,NYSE,Energy,43544698775
DDOG,NASDAQ,Technology,43463558741
EBAY,NASDAQ,Real Estate,43456000000
BE,NYSE,Energy,43279345986
RKT,NYSE,Finance,43213670653
DEO,NYSE,Consumer Staples,43131177706
ODFL,NASDAQ,Industrials,42912750696
KR,NYSE,Consumer Staples,42904795794
ESLT,NASDAQ,Industrials,42825425506
HBANZ,NASDAQ,Finance,42473944911
JD,NASDAQ,Consumer Discretionary,42457998029
PYPL,NASDAQ,Industrials,42415015450
DHI,NYSE,Consumer Discretionary,42224269821
CBRE,NYSE,Finance,42197610675
HSY,NYSE,Consumer Staples,41917502328
WCN,NYSE,Utilities,41844607106
BBD,NYSE,Finance,41461887150
AIG,NYSE,Finance,41420082669
HEI,NYSE,Industrials,41229082088
RBLX,NYSE,Technology,41218343694
NUE,NYSE,Industrials,41172327079
AMP,NYSE,Finance,41088768334
PEG,NYSE,Utilities,41011382799
MSCI,NYSE,Real Estate,40941465744
CCL,NYSE,Consumer Discretionary,40819833044
CUK,NYSE,Consumer Discretionary,40698451697
ED,NYSE,Utilities,40522931358
RKLB,NASDAQ,Industrials,40467171336
FMX,NYSE,Consumer Staples,40443550293
KB,NYSE,Finance,39990220962
ERIC,NASDAQ,Technology,39984231577
KGC,NYSE,Basic Materials,39738801385
VTR,NYSE,Real Estate,39682156419
TRI,NASDAQ,Consumer Discretionary,39185584353
PUK,NYSE,Finance,39184589482
ALC,NYSE,Health Care,39056552000
BIDU,NASDAQ,Technology,38992954721
PPLC,NYSE,Utilities,38826762307
LYV,NYSE,Consumer Discretionary,38559171631
XYZ,NYSE,Technology,38414035520
MCHP,NASDAQ,Technology,38361092618
TKO,NYSE,Consumer Discretionary,38153318263
VMC,NYSE,Industrials,38055838617
HIG,NYSE,Finance,37862226945
WEC,NYSE,Utilities,37735556583
STT,NYSE,Finance,37639457613
TTWO,NASDAQ,Consumer Discretionary,37583210550
MLM,NYSE,Industrials,37556914165
EQT,NYSE,Energy,37323373763
ROP,NASDAQ,Technology,37216530874
VOD,NASDAQ,Telecommunications,37206131943
CPNG,NYSE,Consumer Discretionary,36975174220
LVS,NYSE,Consumer Discretionary,36950261988
CCI,NYSE,Real Estate,36916677472
ASTS,NASDAQ,Consumer Discretionary,36768965695
IX,NYSE,Finance,36575162574
BBDO,NYSE,Finance,36437806436
SLF,NYSE,Finance,36224141901
SATS,NASDAQ,Consumer Discretionary,36019930859
SYY,NYSE,Consumer Discretionary,35618072366
HMC,NYSE,Industrials,35518227386
NTR,NYSE,Industrials,35515863834
CLS,NYSE,Technology,35426194532
TEVA,NYSE,Health Care,35211552919
EME,NYSE,Industrials,34980775919
ARES,NYSE,Finance,34976815993
KDP,NASDAQ,Consumer Staples,34917717716
ACGL,NASDAQ,Finance,34914738418
QSR,NYSE,Consumer Discretionary,34900659821
VIK,NYSE,Consumer Discretionary,34862697180
HBANP,NASDAQ,Finance,34794003793
ONC,NASDAQ,Health Care,34614235344
STRC,NASDAQ,Technology,34561167672
VG,NYSE,Utilities,34446477979
AXIA,NYSE,Utilities,34399416701
RYAAY,NASDAQ,Consumer Discretionary,34373591097
INSM,NASDAQ,Health Care,34294589433
TCOM,NASDAQ,Real Estate,34198722035
NRG,NYSE,Utilities,34124152698
PRU,NYSE,Finance,34100145642
RMD,NYSE,Health Care,33991141305
MCHPP,NASDAQ,Technology,33688387938
GEHC,NASDAQ,Health Care,33669649652
STRF,NASDAQ,Technology,33653982380
STM,NYSE,Technology,33595436146
SHG,NYSE,Finance,33438838487
ADM,NYSE,Consumer Staples,33438700989
BAP,NYSE,Finance,33432104328
HBAN,NASDAQ,Finance,33418948022
HPE,NYSE,Technology,33416820231
SYM,NASDAQ,Industrials,33366338995
A,NYSE,Industrials,33128056610
CHT,NYSE,Telecommunications,33054479750
IR,NYSE,Industrials,32966402735
KVUE,NYSE,Consumer Discretionary,32919873646
WDAY,NASDAQ,Technology,32887005000
PAYX,NASDAQ,Industrials,32871396877
MTB,NYSE,Finance,32731630358
CPRT,NASDAQ,Consumer Discretionary,32343079127
UAL,NASDAQ,Consumer Discretionary,32221755493
AXON,NASDAQ,Industrials,32177561465
IBKR,NASDAQ,Finance,32149000733
IRM,NYSE,Real Estate,32010208103
AMRZ,NYSE,Industrials,31873192468
KMB,NASDAQ,Consumer Discretionary,31728783972
CHTR,NASDAQ,Telecommunications,31575954234
WAT,NYSE,Industrials,31390636683
HAL,NYSE,Energy,31264119403
TPL,NYSE,Energy,31093330270
TS,NYSE,Industrials,31061053097
ATO,NYSE,Utilities,31026419933
XYL,NYSE,Industrials,30983509239
OTIS,NYSE,Technology,30926624700
AEE,NYSE,Utilities,30774904082
DTE,NYSE,Utilities,30749676114
TPR,NYSE,Consumer Discretionary,30580965606
FISV,NASDAQ,Real Estate,30572821435
TDY,NYSE,Industrials,30370727379
CQP,NYSE,Utilities,30350193512
NTRA,NASDAQ,Health Care,30307810500
JBL,NYSE,Technology,30220837439
VICI,NYSE,Real Estate,29851517797
EXPE,NASDAQ,Consumer Discretionary,29668143451
IQV,NYSE,Health Care,29666647667
TW,NASDAQ,Finance,29645715776
CTSH,NASDAQ,Technology,29603484348
FE,NYSE,Utilities,29457843245
DVN,NYSE,Energy,29363054128
NBIS,NASDAQ,Technology,29273099683
PPL,NYSE,Utilities,29172723287
DOV,NYSE,Industrials,29130186827
RJF,NYSE,Finance,29074869778
EXR,NYSE,Real Estate,29072367085
FTS,NYSE,Utilities,29005306725
EC,NYSE,Energy,28668615380
FTI,NYSE,Consumer Discretionary,28498662740
VEEV,NYSE,Technology,28338733530
BTSGU,NASDAQ,Health Care,28302828944
RDDT,NYSE,Technology,28195926539
CNP,NYSE,Utilities,28184466281
EIX,NYSE,Utilities,28094285363
NTRS,NASDAQ,Finance,28086312182
AGNCN,NASDAQ,Real Estate,27749314435
HUBB,NYSE,Technology,27741745458
MTZ,NYSE,Industrials,27735477487
SUNB,NYSE,Consumer Discretionary,27542298872
RPRX,NASDAQ,Health Care,27487224280
CASY,NASDAQ,Consumer Discretionary,27455385026
WTW,NASDAQ,Finance,27439479259
AGNCO,NASDAQ,Real Estate,27430986376
TECK,NYSE,Industrials,27429084765
AGNCZ,NASDAQ,Unknown,27408810962
CFG,NYSE,Finance,27156455682
DG,NYSE,Consumer Discretionary,27105455466
FTAI,NASDAQ,Industrials,27088065441
KHC,NASDAQ,Consumer Staples,27076882235
Q,NYSE,Technology,27075372216
FLEX,NASDAQ,Technology,26995538685
CW,NYSE,Technology,26910125591
STLD,NASDAQ,Industrials,26814857459
PHG,NYSE,Health Care,26769270603
MTD,NYSE,Industrials,26735721032
ON,NASDAQ,Technology,26718724712
AGNCP,NASDAQ,Real Estate,26610496080
AGNCL,NASDAQ,Real Estate,26577232960
STZ,NYSE,Consumer Staples,26538250703
DOW,NYSE,Industrials,26413629086
FICO,NYSE,Real Estate,26379961893
AER,NYSE,Consumer Discretionary,26371352317
ROL,NYSE,Consumer Discretionary,26360018077
AGNCM,NASDAQ,Real Estate,26249480350
EL,NYSE,Consumer Discretionary,26246914240
ES,NYSE,Utilities,26132526838
BIIB,NASDAQ,Health Care,26012949088
STRD,NASDAQ,Technology,25964507047
GFS,NASDAQ,Technology,25820542765
PBA,NYSE,Energy,25682035417
AWK,NYSE,Utilities,25675702781
FOXA,NASDAQ,Industrials,25608843896
NMR,NYSE,Finance,25379071135
UTHR,NASDAQ,Health Care,25339853215
DXCM,NASDAQ,Health Care,25231739042
CINF,NASDAQ,Finance,25193140884
XPO,NYSE,Consumer Discretionary,25177309966
LPLA,NASDAQ,Finance,25171038312
SYF,NYSE,Finance,25141638860
CTRA,NYSE,Energy,25082574140
WRB,NYSE,Finance,25019734089
ZM,NASDAQ,Technology,24927345221
STRK,NASDAQ,Technology,24846509172
VRSN,NASDAQ,Technology,24672802000
PAAS,NYSE,Basic Materials,24549412212
PPG,NYSE,Consumer Discretionary,24530570027
MKL,NYSE,Finance,24328708621
FIS,NYSE,Real Estate,24120388930
CMS,NYSE,Utilities,24029899023
EXE,NASDAQ,Energy,24020594139
UMC,NYSE,Technology,24003529050
TSCO,NASDAQ,Consumer Discretionary,23920137129
CRCL,NYSE,Finance,23895359197
HUM,NYSE,Health Care,23829763079
BG,NYSE,Consumer Staples,23790227828
RF,NYSE,Finance,23782272388
WWD,NASDAQ,Energy,23711615736
VRSK,NASDAQ,Industrials,23690136930
AVB,NYSE,Real Estate,23643345671
FITBM,NASDAQ,Finance,23639735115
SOJC,NYSE,Utilities,23596016880
ULTA,NASDAQ,Consumer Discretionary,23574262253
WIT,NYSE,Technology,23509945430
EDU,NYSE,Real Estate,23231300448
SQM,NYSE,Industrials,23230922925
PHM,NYSE,Consumer Discretionary,23222532993
FCNCA,NASDAQ,Finance,23204953606
ZS,NASDAQ,Technology,23108839835
FOX,NASDAQ,Industrials,23069229310
TSEM,NASDAQ,Technology,23041980530
BEP,NYSE,Utilities,23020731492
EQR,NYSE,Real Estate,23015271704
RGLD,NASDAQ,Industrials,23004970898
BNTX,NASDAQ,Health Care,23000038490
BNH,NYSE,Real Estate,22993903701
STLA,NYSE,Industrials,22948066912
KEY,NYSE,Finance,22902010346
FITBI,NASDAQ,Finance,22892645229
BRO,NYSE,Finance,22796306288
WSM,NYSE,Consumer Discretionary,22743371884
NI,NYSE,Utilities,22721559104
RL,NYSE,Industrials,22714170204
LH,NYSE,Health Care,22646816000
BNJ,NYSE,Real Estate,22586647741
TSN,NYSE,Consumer Staples,22575303300
EFX,NYSE,Finance,22533336374
LYB,NYSE,Industrials,22516459762
L,NYSE,Finance,22449255852
LEN,NYSE,Consumer Discretionary,22439433144
BCE,NYSE,Telecommunications,22422583270
ONON,NYSE,Consumer Discretionary,22308501554
DRI,NYSE,Consumer Discretionary,22296529034
SOJD,NYSE,Utilities,22264959518
FWONK,NASDAQ,Industrials,22259693432
SBS,NYSE,Utilities,22218657734
CHD,NYSE,Consumer Discretionary,22176246300
SW,NYSE,Consumer Discretionary,22139235229
VLTO,NYSE,Industrials,22083670972
OMC,NYSE,Consumer Discretionary,21958400601
STE,NYSE,Health Care,21908979835
DGX,NYSE,Health Care,21872933277
FN,NYSE,Utilities,21753259981
FSLR,NASDAQ,Technology,21664759485
SBAC,NASDAQ,Real Estate,21660214212
FUTU,NASDAQ,Finance,21655445817
IHG,NYSE,Consumer Discretionary,21568761679
ATI,NYSE,Industrials,21505449196
BURL,NYSE,Consumer Discretionary,21438945071
KOF,NYSE,Consumer Staples,21429182327
DLTR,NASDAQ,Consumer Discretionary,21425599875
ALAB,NASDAQ,Technology,21358722581
JBHT,NASDAQ,Industrials,21285445655
SOFI,NASDAQ,Finance,21284153657
FITBP,NASDAQ,Finance,21144998235
PSTG,NYSE,Technology,21101582685
CPAY,NYSE,Real Estate,21028902470
MDB,NASDAQ,Technology,21017836853
CRS,NYSE,Industrials,20922073529
TWLO,NYSE,Technology,20890750182
ALB,NYSE,Industrials,20814108769
BWXT,NYSE,Industrials,20744603165
PKX,NYSE,Industrials,20609824599
NVT,NYSE,Industrials,20522748109
FWONA,NASDAQ,Industrials,20492042836
MRNA,NASDAQ,Health Care,20463882079
CRDO,NASDAQ,Technology,20457342845
LUV,NYSE,Consumer Discretionary,20416474223
ROIV,NASDAQ,Health Care,20340226314
PFG,NASDAQ,Finance,20337472172
USFD,NYSE,Consumer Discretionary,20312946868
LDOS,NYSE,Technology,20310060273
AGI,NYSE,Basic Materials,20276043687
CHRW,NASDAQ,Industrials,20164794916
TROW,NASDAQ,Finance,19980572912
AQNB,NYSE,Utilities,19945609276
LI,NASDAQ,Industrials,19842397425
NTAP,NASDAQ,Technology,19776452688
ILMN,NASDAQ,Health Care,19760796000
SNA,NYSE,Consumer Discretionary,19728691850
AS,NYSE,Consumer Discretionary,19674505413
ENTG,NASDAQ,Industrials,19615748663
ZTO,NYSE,Industrials,19508360883
IP,NYSE,Basic Materials,19490387427
GIS,NYSE,Consumer Staples,19484701269
TU,NYSE,Telecommunications,19397770000
DD,NYSE,Industrials,19347170910
BCH,NYSE,Finance,19304364217
SOJE,NYSE,Basic Materials,19275302629
AMCR,NYSE,Consumer Discretionary,19267305273
EXPD,NYSE,Industrials,19255419294
JBS,NYSE,Consumer Staples,19184759001
RVMD,NASDAQ,Health Care,19151477086
WST,NYSE,Health Care,19143433984
FLUT,NYSE,Technology,19128025838
EVRG,NASDAQ,Utilities,19069830379
KEP,NYSE,Utilities,19002136679
BR,NYSE,Real Estate,18933722855
NVR,NYSE,Consumer Discretionary,18891181419
APG,NYSE,Consumer Discretionary,18889235608
INCY,NASDAQ,Health Care,18826770376
TLK,NYSE,Telecommunications,18752378540
RBA,NYSE,Real Estate,18693613841
IFF,NYSE,Industrials,18689455561
LNT,NASDAQ,Utilities,18673389721
PKG,NYSE,Consumer Discretionary,18670052233
RIVN,NASDAQ,Industrials,18621051784
DKS,NYSE,Consumer Discretionary,18584555861
ITT,NYSE,Industrials,18579657892
DUKB,NYSE,Utilities,18550324180
RBC,NYSE,Industrials,18431640936
CF,NYSE,Industrials,18358700027
MTSI,NASDAQ,Technology,18305171039
IOT,NYSE,Technology,18304177681
GPN,NYSE,Real Estate,18292650644
CNC,NYSE,Health Care,18173452479
AA,NYSE,Industrials,18156378075
BEKE,NYSE,Finance,18119340264
FTV,NYSE,Industrials,18071334453
GMAB,NASDAQ,Health Care,18009237683
WY,NYSE,Real Estate,18008039160
RCI,NYSE,Telecommunications,17984066215
ZBH,NYSE,Health Care,17982567718
CG,NASDAQ,Finance,17823792156
LULU,NASDAQ,Consumer Discretionary,17803177605
THC,NYSE,Health Care,17699144575
FFIV,NASDAQ,Telecommunications,17694488798
YUMC,NYSE,Consumer Discretionary,17461525430
FITBO,NASDAQ,Finance,17454736424
PTC,NASDAQ,Technology,17440665742
CX,NYSE,Industrials,17416168803
TEAM,NASDAQ,Technology,17298973814
HPQ,NYSE,Technology,17286477687
WF,NYSE,Finance,17262116221
BPYPM,NASDAQ,Finance,17205056448
ULS,NYSE,Health Care,17163507180
NXT,NASDAQ,Industrials,17129658007
MKSI,NASDAQ,Industrials,17101730943
PR,NYSE,Energy,17062112129
XPEV,NYSE,Industrials,17032769914
SSNC,NASDAQ,Technology,16972992062
CSGP,NASDAQ,Real Estate,16959649360
AFRM,NASDAQ,Finance,16932014390
BIP,NYSE,Consumer Discretionary,16890728744
SGI,NYSE,Consumer Discretionary,16886145295
AKAM,NASDAQ,Real Estate,16771649628
BPYPP,NASDAQ,Finance,16758036854
YPF,NYSE,Energy,16705174257
HTHT,NASDAQ,Consumer Discretionary,16657583492
LII,NYSE,Industrials,16578018626
BSAC,NYSE,Finance,16418133240
BALL,NYSE,Industrials,16339136231
CDW,NASDAQ,Technology,16331743020
MGA,NYSE,Consumer Discretionary,16317045480
